Date,Day of the week,App (Use all CAPITALS),Minutes,Category
08/28,Monday,TIKTOK,145,Entertainment
08/28,Monday,SAFARI,52,Other
08/28,Monday,AMAZON,39,Other
08/28,Monday,SNAPCHAT,19,Social Media
08/28,Monday,FACEBOOK,17,Social Media
08/28,Monday,INSTAGRAM,12,Social Media
08/28,Monday,SPOTIFY,7,Entertainment
08/29,Tuesday,TIKTOK,105,Entertainment
08/29,Tuesday,AMAZON,28,Other
08/29,Tuesday,FACEBOOK,15,Social Media
08/29,Tuesday,MESSAGES,12,Other
08/29,Tuesday,SNAPCHAT,11,Social Media
08/29,Tuesday,CAMERA,10,Other
08/29,Tuesday,INSTAGRAM,10,Social Media
08/30,Wednesday,TIKTOK,143,Entertainment
08/30,Wednesday,CALCULATOR,59,Education
08/30,Wednesday,SAFARI,23,Other
08/30,Wednesday,INSTAGRAM,15,Social Media
08/30,Wednesday,FACEBOOK,14,Social Media
08/30,Wednesday,SNAPCHAT,12,Social Media
08/30,Wednesday,AMAZON,11,Other
08/30,Wednesday,MAPS,8,Travel
08/31,Thursday,TIKTOK,102,Entertainment
08/31,Thursday,SAFARI,45,Other
08/31,Thursday,FACEBOOK,36,Social Media
08/31,Thursday,SNAPCHAT,21,Social Media
08/31,Thursday,MESSAGES,9,Other
08/31,Thursday,MAPS,7,Travel
08/31,Thursday,CAMERA,7,Other
08/31,Thursday,INSTAGRAM,6,Social Media
08/31,Thursday,CALCULATOR,6,Education
08/31,Thursday,MAIL,6,Other
09/01,Friday,TIKTOK ,267,Entertainment
09/01,Friday,INSTAGRAM,28,Social Media
09/01,Friday,SAFARI,27,Other
09/01,Friday,SNAPCHAT,25,Social Media
09/01,Friday,MESSAGES,18,Other
09/01,Friday,FACEBOOK,17,Social Media
09/02,Saturday,TIKTOK,273,Entertainment
09/02,Saturday,SAFARI,57,Other
09/02,Saturday,INSTAGRAM,23,Social Media
09/02,Saturday,SNAPCHAT,16,Social Media
09/02,Saturday,FACEBOOK,11,Social Media
09/02,Saturday,AMAZON,9,Other
09/02,Saturday,CLOCK,5,Other
09/03,Sunday,TIKTOK,200,Entertainment
09/03,Sunday,SAFARI,119,Other
09/03,Sunday,AMAZON,70,Other
09/03,Sunday,INSTAGRAM,28,Social Media
09/03,Sunday,YOUTUBE,18,Entertainment
09/03,Sunday,SNAPCHAT,13,Social Media
09/03,Sunday,FACEBOOK,10,Social Media
09/03,Sunday,SPOTIFY,6,Entertainment
09/03,Sunday,MESSAGES,5,Other